test_rel,input_path,expected_path,status,time_sec,return_code
Benchmarks\tests\All operations\Samples\01,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Samples\01,Benchmarks\tests\All operations\Samples\01.a,AC,0.310388,0
Benchmarks\tests\All operations\Samples\02,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Samples\02,Benchmarks\tests\All operations\Samples\02.a,AC,0.011182,0
Benchmarks\tests\All operations\Samples\03,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Samples\03,Benchmarks\tests\All operations\Samples\03.a,AC,0.011911,0
Benchmarks\tests\All operations\Samples\04,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Samples\04,Benchmarks\tests\All operations\Samples\04.a,AC,0.011152,0
Benchmarks\tests\All operations\Samples\05,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Samples\05,Benchmarks\tests\All operations\Samples\05.a,AC,0.012304,0
Benchmarks\tests\All operations\Simple Tests\06,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Simple Tests\06,Benchmarks\tests\All operations\Simple Tests\06.a,AC,0.013358,0
Benchmarks\tests\All operations\Simple Tests\07,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Simple Tests\07,Benchmarks\tests\All operations\Simple Tests\07.a,AC,0.011347,0
Benchmarks\tests\All operations\Simple Tests\08,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Simple Tests\08,Benchmarks\tests\All operations\Simple Tests\08.a,AC,0.014360,0
Benchmarks\tests\All operations\Simple Tests\09,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Simple Tests\09,Benchmarks\tests\All operations\Simple Tests\09.a,AC,0.027780,0
Benchmarks\tests\All operations\Simple Tests\10,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Simple Tests\10,Benchmarks\tests\All operations\Simple Tests\10.a,AC,0.053888,0
Benchmarks\tests\All operations\Simple Tests\11,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Simple Tests\11,Benchmarks\tests\All operations\Simple Tests\11.a,AC,0.129042,0
Benchmarks\tests\All operations\Simple Tests\12,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Simple Tests\12,Benchmarks\tests\All operations\Simple Tests\12.a,AC,0.276014,0
Benchmarks\tests\All operations\Stress Tests\100,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\100,Benchmarks\tests\All operations\Stress Tests\100.a,AC,0.467784,0
Benchmarks\tests\All operations\Stress Tests\101,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\101,Benchmarks\tests\All operations\Stress Tests\101.a,AC,0.484959,0
Benchmarks\tests\All operations\Stress Tests\102,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\102,Benchmarks\tests\All operations\Stress Tests\102.a,AC,0.504621,0
Benchmarks\tests\All operations\Stress Tests\103,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\103,Benchmarks\tests\All operations\Stress Tests\103.a,AC,0.548012,0
Benchmarks\tests\All operations\Stress Tests\104,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\104,Benchmarks\tests\All operations\Stress Tests\104.a,AC,0.166892,0
Benchmarks\tests\All operations\Stress Tests\105,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\105,Benchmarks\tests\All operations\Stress Tests\105.a,AC,0.252510,0
Benchmarks\tests\All operations\Stress Tests\43,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\43,Benchmarks\tests\All operations\Stress Tests\43.a,AC,0.096191,0
Benchmarks\tests\All operations\Stress Tests\44,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\44,Benchmarks\tests\All operations\Stress Tests\44.a,AC,0.235526,0
Benchmarks\tests\All operations\Stress Tests\45,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\45,Benchmarks\tests\All operations\Stress Tests\45.a,AC,0.521625,0
Benchmarks\tests\All operations\Stress Tests\46,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\46,Benchmarks\tests\All operations\Stress Tests\46.a,AC,0.095310,0
Benchmarks\tests\All operations\Stress Tests\47,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\47,Benchmarks\tests\All operations\Stress Tests\47.a,AC,0.227913,0
Benchmarks\tests\All operations\Stress Tests\48,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\48,Benchmarks\tests\All operations\Stress Tests\48.a,AC,0.012444,0
Benchmarks\tests\All operations\Stress Tests\49,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\49,Benchmarks\tests\All operations\Stress Tests\49.a,AC,0.022194,0
Benchmarks\tests\All operations\Stress Tests\50,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\50,Benchmarks\tests\All operations\Stress Tests\50.a,AC,0.010197,0
Benchmarks\tests\All operations\Stress Tests\51,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\51,Benchmarks\tests\All operations\Stress Tests\51.a,AC,0.012590,0
Benchmarks\tests\All operations\Stress Tests\52,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\52,Benchmarks\tests\All operations\Stress Tests\52.a,AC,0.021548,0
Benchmarks\tests\All operations\Stress Tests\53,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\53,Benchmarks\tests\All operations\Stress Tests\53.a,AC,0.012133,0
Benchmarks\tests\All operations\Stress Tests\54,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\54,Benchmarks\tests\All operations\Stress Tests\54.a,AC,0.011667,0
Benchmarks\tests\All operations\Stress Tests\55,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\55,Benchmarks\tests\All operations\Stress Tests\55.a,AC,0.027369,0
Benchmarks\tests\All operations\Stress Tests\56,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\56,Benchmarks\tests\All operations\Stress Tests\56.a,AC,0.071322,0
Benchmarks\tests\All operations\Stress Tests\57,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\57,Benchmarks\tests\All operations\Stress Tests\57.a,AC,0.162973,0
Benchmarks\tests\All operations\Stress Tests\58,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\58,Benchmarks\tests\All operations\Stress Tests\58.a,AC,0.363130,0
Benchmarks\tests\All operations\Stress Tests\59,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\59,Benchmarks\tests\All operations\Stress Tests\59.a,AC,0.080914,0
Benchmarks\tests\All operations\Stress Tests\60,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\60,Benchmarks\tests\All operations\Stress Tests\60.a,AC,0.241861,0
Benchmarks\tests\All operations\Stress Tests\61,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\61,Benchmarks\tests\All operations\Stress Tests\61.a,AC,0.420853,0
Benchmarks\tests\All operations\Stress Tests\62,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\62,Benchmarks\tests\All operations\Stress Tests\62.a,AC,0.071059,0
Benchmarks\tests\All operations\Stress Tests\63,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\63,Benchmarks\tests\All operations\Stress Tests\63.a,AC,0.151120,0
Benchmarks\tests\All operations\Stress Tests\64,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\64,Benchmarks\tests\All operations\Stress Tests\64.a,AC,0.271190,0
Benchmarks\tests\All operations\Stress Tests\65,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\65,Benchmarks\tests\All operations\Stress Tests\65.a,AC,0.082394,0
Benchmarks\tests\All operations\Stress Tests\66,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\66,Benchmarks\tests\All operations\Stress Tests\66.a,AC,0.177834,0
Benchmarks\tests\All operations\Stress Tests\67,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\67,Benchmarks\tests\All operations\Stress Tests\67.a,AC,0.564138,0
Benchmarks\tests\All operations\Stress Tests\68,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\68,Benchmarks\tests\All operations\Stress Tests\68.a,AC,0.242429,0
Benchmarks\tests\All operations\Stress Tests\69,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\69,Benchmarks\tests\All operations\Stress Tests\69.a,AC,0.683882,0
Benchmarks\tests\All operations\Stress Tests\70,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\70,Benchmarks\tests\All operations\Stress Tests\70.a,AC,0.066182,0
Benchmarks\tests\All operations\Stress Tests\71,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\71,Benchmarks\tests\All operations\Stress Tests\71.a,AC,0.151201,0
Benchmarks\tests\All operations\Stress Tests\72,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\72,Benchmarks\tests\All operations\Stress Tests\72.a,AC,0.056046,0
Benchmarks\tests\All operations\Stress Tests\73,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\73,Benchmarks\tests\All operations\Stress Tests\73.a,AC,0.160879,0
Benchmarks\tests\All operations\Stress Tests\74,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\74,Benchmarks\tests\All operations\Stress Tests\74.a,AC,0.124721,0
Benchmarks\tests\All operations\Stress Tests\75,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\75,Benchmarks\tests\All operations\Stress Tests\75.a,AC,0.200913,0
Benchmarks\tests\All operations\Stress Tests\76,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\76,Benchmarks\tests\All operations\Stress Tests\76.a,AC,0.075691,0
Benchmarks\tests\All operations\Stress Tests\77,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\77,Benchmarks\tests\All operations\Stress Tests\77.a,AC,0.178390,0
Benchmarks\tests\All operations\Stress Tests\78,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\78,Benchmarks\tests\All operations\Stress Tests\78.a,AC,0.399506,0
Benchmarks\tests\All operations\Stress Tests\79,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\79,Benchmarks\tests\All operations\Stress Tests\79.a,AC,0.139724,0
Benchmarks\tests\All operations\Stress Tests\80,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\80,Benchmarks\tests\All operations\Stress Tests\80.a,AC,0.205233,0
Benchmarks\tests\All operations\Stress Tests\81,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\81,Benchmarks\tests\All operations\Stress Tests\81.a,AC,0.533016,0
Benchmarks\tests\All operations\Stress Tests\82,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\82,Benchmarks\tests\All operations\Stress Tests\82.a,AC,0.027553,0
Benchmarks\tests\All operations\Stress Tests\83,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\83,Benchmarks\tests\All operations\Stress Tests\83.a,AC,0.046252,0
Benchmarks\tests\All operations\Stress Tests\84,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\84,Benchmarks\tests\All operations\Stress Tests\84.a,AC,0.101142,0
Benchmarks\tests\All operations\Stress Tests\85,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\85,Benchmarks\tests\All operations\Stress Tests\85.a,AC,0.094793,0
Benchmarks\tests\All operations\Stress Tests\86,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\86,Benchmarks\tests\All operations\Stress Tests\86.a,AC,0.246933,0
Benchmarks\tests\All operations\Stress Tests\87,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\87,Benchmarks\tests\All operations\Stress Tests\87.a,AC,1.361047,0
Benchmarks\tests\All operations\Stress Tests\88,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\88,Benchmarks\tests\All operations\Stress Tests\88.a,AC,0.298761,0
Benchmarks\tests\All operations\Stress Tests\89,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\89,Benchmarks\tests\All operations\Stress Tests\89.a,AC,0.445090,0
Benchmarks\tests\All operations\Stress Tests\90,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\90,Benchmarks\tests\All operations\Stress Tests\90.a,AC,0.444239,0
Benchmarks\tests\All operations\Stress Tests\91,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\91,Benchmarks\tests\All operations\Stress Tests\91.a,AC,0.106953,0
Benchmarks\tests\All operations\Stress Tests\92,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\92,Benchmarks\tests\All operations\Stress Tests\92.a,AC,0.060919,0
Benchmarks\tests\All operations\Stress Tests\93,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\93,Benchmarks\tests\All operations\Stress Tests\93.a,AC,0.052787,0
Benchmarks\tests\All operations\Stress Tests\94,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\94,Benchmarks\tests\All operations\Stress Tests\94.a,AC,0.407717,0
Benchmarks\tests\All operations\Stress Tests\95,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\95,Benchmarks\tests\All operations\Stress Tests\95.a,AC,0.525177,0
Benchmarks\tests\All operations\Stress Tests\96,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\96,Benchmarks\tests\All operations\Stress Tests\96.a,AC,0.341844,0
Benchmarks\tests\All operations\Stress Tests\97,D:\VS code Folders\Dozi datastructure\Bahnasy-Tree\Benchmarks\tests\All operations\Stress Tests\97,Benchmarks\tests\All operations\Stress Tests\97.a,AC,0.684727,0
