test_rel,status,time_a_sec,time_b_sec,rc_a,rc_b
Benchmarks\tests\point update + query\01,MATCH,0.084672,0.075101,0,0
Benchmarks\tests\point update + query\02,MATCH,0.010114,0.008364,0,0
Benchmarks\tests\point update + query\03,MATCH,0.010055,0.008544,0,0
Benchmarks\tests\point update + query\04,MATCH,0.013703,0.011385,0,0
Benchmarks\tests\point update + query\05,MATCH,0.014319,0.011193,0,0
Benchmarks\tests\point update + query\06,MATCH,0.013915,0.011331,0,0
Benchmarks\tests\point update + query\07,MATCH,0.434907,0.317153,0,0
Benchmarks\tests\point update + query\08,MATCH,0.429719,0.315508,0,0
Benchmarks\tests\point update + query\09,MATCH,0.447816,0.314907,0,0
Benchmarks\tests\point update + query\10,MATCH,0.433692,0.314862,0,0
Benchmarks\tests\point update + query\11,MATCH,0.440707,0.325246,0,0
Benchmarks\tests\point update + query\12,MATCH,0.471517,0.305619,0,0
Benchmarks\tests\point update + query\13,MATCH,0.443594,0.318149,0,0
Benchmarks\tests\point update + query\14,MATCH,0.422448,0.320082,0,0
Benchmarks\tests\point update + query\15,MATCH,0.433931,0.323264,0,0
Benchmarks\tests\point update + query\16,MATCH,0.435098,0.310504,0,0
Benchmarks\tests\point update + query\17,MATCH,0.440558,0.319177,0,0
Benchmarks\tests\point update + query\18,MATCH,0.465739,0.318403,0,0
